Nama,Rating,Waktu,Review
Andri dwi,2,2025-05-05 14:28:03,cukup kecewa saja pas lagi order food di batalin setelah di ambil tapi habis itu di batalin dengan alasan tidak bawa chas banyak. kalau tidak bawa chas banyak jangan di ambil habis itu di batalin.
Kg santri45,5,2025-04-28 6:26:48,sangan membantu untuk anak2 yatim semoga Allah akan membalas kebaikannya aaamin
Mirza Firdaus,5,2025-04-22 22:19:27,mantap
Hilal Hamzah basyaiban,5,2025-04-22 5:43:26,ok
Doni Seda,1,2025-04-21 21:07:00,dimana bonus 100ribu untuk pengguna barunya ? hoax nih
Erik Kurniawan,5,2025-04-19 23:28:23,"semoga Jogja Kita makin maju dan berkembang, tapi kalo suatu saat sudah terkenal jangan sombong ya hehe, selalu care dan adil terutama sama resto dan driver, jangan cuma mengutamakan kepentingan pribadi dan konsumen saja kayak aplikasi2 lain yg masih berstatement konsumen adalah raja, tapi membiarkan rakyat kecil menderita hehe"
Risjan 62,1,2025-04-15 10:50:04,penipu jangan donlot ga sesuai promo
Giwang Yogaswara,1,2025-04-12 17:08:30,"penipuan, promo bonus saldo 100.000 nyata nya cuman dapet point 50.000 dan gak berguna"
Adzlan Fahmi Abdillah,1,2025-04-03 8:15:18,verifikasi gak masuk2
markusnur poles,5,2025-03-26 7:26:37,baik
Rinarani1990,1,2025-03-07 5:55:18,Lemot banget aplikasinya dari dulu kok tidak diperbaiki sih
Ratu Barbie,1,2025-03-01 14:31:02,Tarif semakin mahal..malah melebihi aplikasi sebelah . Gak kayak waktu awal2 launching kemanaÂ² cuma 5k .....memding uninstall aja ini aplikasi
Lasckar Garissham,1,2025-02-25 23:16:07,"Aplikasi lemot parah. Lokasi selalu jauh. Drivernya juga beberapa lemot. Waktu itu pernah lihat di ig promo apa gitu waktu diorder harga ga sesuai. Kirain harga fix mana kalo order driver udah lama, mana jauh lagi."
Khafizatun Nadia,1,2025-02-25 15:57:16,Gabisa digunan pointnya.. tipu tipu
Aa Aa,5,2025-02-23 11:34:47,"Mari kita lihat kalau ojek jadi karyawan kontrak setelah peraturan disahkan, apa jogjakita akan mau menggaji drivernya perbulan. Kalo iya pasti sukses deh karena grab sama gojek pasti bakal bangkrut. Semoga sesuai dengan visi misi dan slogannya. Sukses terus jogjakita."
the_saint_ dans,1,2025-02-22 20:49:57,aplikasi gak jelas... bonus promo gak jelas... scam.. n report
Ari sekar Arum,1,2025-02-22 5:08:29,Maap ya tapi ini jujur mahal bngt asliii :) saya biasa pake apk sebelah 15k eh pake apk ini kok 45k yaampun sangat diluar nurul :) plus apk ngelag trus.
Fajar Subekti,5,2025-02-13 0:28:53,baik
M Fathir,1,2025-02-12 4:04:03,"Penipuan bonus ini namanya,bonus cuma iming2 aja dan ga bisa di gunakan,blm apa2 udah bohong apalagi udah rame ntar,kalo ga mampu buat promo seadanya aja lah,ini kalo badan perlindungan konsumen tahu repot nanti."
Nanang Ceta,5,2025-02-11 8:02:05,terima kasih
077_Ahmad,3,2025-02-10 10:10:18,"untuk jogjafoodnya kurang banget kirain harga fix rupanya masih belum, drivernya aja belum ngerti sistem baru katanya"
asa afi,5,2025-02-03 23:53:40,istimewa
Putri Pramitha Sari,1,2025-01-30 14:16:57,ribet
STST STST,1,2025-01-27 19:16:44,parah udah di beri akses setelah selesai tidak bisa lihat fitur dalam aplikasi
Ricky Rian Nando,1,2025-01-23 17:51:56,"Aplikasi taik, bonus gk bisa di tarik, referal juga cuma 1000 perak"
BER3,1,2025-01-18 16:17:02,pembohong katanya gratis saldo ee malah gratis poin doang gabisa juga digunakan lol hapus aja ni pembodohan publik
Rizki Ramadhan,1,2025-01-15 19:58:52,apknya lemot dan eror??
Maju Mapan,5,2025-01-15 16:47:17,Harusnya bonus downloadn itu Rupiah...dan bonus refrial terlalu kecil..coba perbaiki bonus download dan refrial...pasti berkembang..
Eiv Eiva,1,2025-01-12 8:11:40,iklan tidak sesuai kenyataan
inarto j,2,2025-01-12 2:52:23,"Kalau mau cepet kurang di sarankan, soalnya drivernya dari jauh 2 bukan yg terdekat."
Sugi Yanti,5,2025-01-09 10:10:56,"Harga murah sekali, pelayanan jos tenan"
Sap Group,5,2025-01-08 4:59:17,Aplikasi yg bijaksana. Sukses selalu utk JogjaKita.
Selly Febrianti,1,2025-01-05 6:40:11,"Aplikasi gila, harga promo tidak ada dan selalu kena tambahan biaya di real pesanannya. Merugikan cuatomer dan driver. Dana susah ditariknya. Nggak ikhlas saya sumpah..."
Maryono Aja,1,2025-01-03 6:52:28,"Untuk biaya lebih murah dari apk lainnya , hanya sja Penjemputn terlalu lama sekali , bisa sampe nunggu 30 mnt Untuk pembatalan orderan juga sudah harus mnghubungi cs atau driver . Sedangkn trkadang cs juga lama responnya .. mohon bisa di perbaiki lagi"
NhandarJR MMJ,1,2025-01-02 12:24:51,"Aplikasi nya penipuan katanya pas Download dapat saldo nyatanya bohong,"
Rohmad Kurniawan,5,2024-12-31 12:55:47,sangat puas
JIMI ANGGARA (Jimmy),1,2024-12-28 7:00:20,"Percuma d download, COINnya g bisa d pake jg"
shaqi shaqinah,5,2024-12-27 23:44:14,suka aplikasi ini
Alberta Carla,1,2024-12-26 13:49:40,"JELEK, SUSAH CARI DRIVER pembayaran digital suka ditilep"
Adi Kurnia Tresna Putra,1,2024-12-24 21:20:50,"jelek, super jelek"
Andika RailFans,1,2024-12-20 1:43:38,"Penjemputan terlalu jauh tidak efisien, menyiksa driver dan membuat costumer menunggu lama"
Nizar Ulinnuha,4,2024-12-18 9:30:56,maps nya kadang melenceng 100 meteran
Robby candra,2,2024-12-18 0:04:20,Sering error makin du update.
Clas Mild,5,2024-12-16 3:41:31,jazaa kumullohu khoyron wa baa rokallohu fiikum
Rosa Aprilia,5,2024-12-15 17:12:04,Sangat membantu
WU LIAN NET,5,2024-12-13 15:28:53,Semakin Oke
TAKE MAZUKI,5,2024-12-11 9:40:23,Aplikasi sudah bagus cuman perlu ditingkatkan lagi biar mantap
Bintari Rochim,5,2024-12-08 8:37:24,sangat membantu kami harga bersaing
willy agus,5,2024-12-03 5:26:02,mantab
Alle,1,2024-12-01 23:44:23,Aplikasi goblokk yang pernah gw download apah2 mau mesan inihh ituhh diaplikasi Jogja tidak tersedia peaa apuss ajahh nihh aplikasi babi